Color,Set Size,Reaction Time
blue,6,1.5902097
blue,6,2.0595534
blue,6,2.1100155
blue,6,1.1953116
blue,6,1.8235159
blue,6,1.6239822
blue,6,1.1919348
blue,6,1.8750914
blue,6,1.7422346
blue,6,1.7579152
blue,6,1.2754237
blue,6,1.2416882
blue,6,1.8252615
blue,6,1.3802087
blue,6,1.3941438
blue,6,1.8465054
blue,6,2.296249
blue,6,1.1480599
blue,6,1.0811539
blue,6,2.2786681
blue,6,1.8458354
blue,6,0.8304507
blue,6,1.5974226
blue,6,3.4293056
blue,6,1.6464004
blue,6,1.4472823
blue,6,1.496038
blue,6,1.1158074
blue,6,1.5301221
blue,6,1.2814323
blue,6,1.4803098
blue,6,2.3960079
blue,6,1.4635242
blue,6,2.2634181
blue,6,1.6472997
blue,6,1.2969267
blue,6,1.5139743
blue,6,1.5965058
blue,6,1.7306013
blue,6,2.7786218
blue,6,1.1471476
blue,6,1.5648303
blue,6,1.264097
blue,6,0.9819707
blue,6,1.4895359
blue,6,0.9313688
blue,6,1.2630591
blue,6,0.7473351
blue,6,1.5475707
blue,6,0.9480752
blue,6,1.147484
blue,6,1.5299501
blue,6,2.030501
blue,6,1.5646058
blue,6,1.4648573
blue,6,2.4130689
blue,6,1.9138467
blue,6,1.8074219
blue,6,1.9637747
blue,6,1.9460644
blue,6,2.4135931
blue,6,2.145892
blue,6,1.6301878
blue,6,1.6637283
blue,6,1.7963386
blue,6,1.9269515
blue,6,1.3945551
blue,6,1.1978487
blue,6,1.2315104
blue,6,1.2457934
blue,6,1.4464382
blue,6,1.1973804
blue,6,0.930411
blue,6,1.1958406
blue,6,1.1122875
blue,6,1.2454216
blue,6,1.4948292
blue,6,1.363545
blue,6,3.1247476
blue,6,1.5287257
blue,6,1.5493048
blue,6,1.5780109
blue,6,1.4487451
blue,6,1.5157822
blue,6,1.2125578
blue,6,1.5119546
blue,6,1.0623763
blue,6,1.4435223
blue,6,1.6619726
blue,6,1.678808
blue,6,1.9423332
blue,6,2.6173576
blue,6,1.5787231
blue,6,1.6284768
blue,6,1.9315119
blue,6,2.4550387
blue,6,3.3128256
blue,6,3.3455467
blue,6,2.8439636
blue,6,1.9184496
blue,6,1.8666017
blue,6,1.7463046
blue,6,2.232054
blue,6,2.3532627
blue,10,2.0424147
blue,10,1.7403291
blue,10,2.6292386
blue,10,1.7908071
blue,10,2.1580589
blue,10,1.2245305
blue,10,1.7579537
blue,10,1.5916823
blue,10,1.356126
blue,10,2.3060398
blue,10,1.307857
blue,10,1.8091023
blue,10,1.0458691
blue,10,2.0631914
blue,10,1.0971695
blue,10,1.4302896
blue,10,1.5470743
blue,10,1.3136335
blue,10,1.0967087
blue,10,1.3483813
blue,10,1.1635419
blue,10,2.6115235
blue,10,1.3956418
blue,10,1.2302151
blue,10,1.2950661
blue,10,1.1634513
blue,10,1.2642788
blue,10,1.3299516
blue,10,1.8959167
blue,10,1.9134271
blue,10,1.5639971
blue,10,1.3294844
blue,10,1.2469369
blue,10,1.8304038
blue,10,1.0967327
blue,10,1.4981598
blue,10,1.7132704
blue,10,0.9984143
blue,10,0.9313184
blue,10,1.39742
blue,10,1.2306837
blue,10,1.4811312
blue,10,1.1804725
blue,10,1.0976419
blue,10,0.8477874
blue,10,1.1471278
blue,10,0.9134197
blue,10,1.4298798
blue,10,1.9963239
blue,10,1.9807893
blue,10,2.1296745
blue,10,1.4806361
blue,10,2.2961802
blue,10,1.6296718
blue,10,2.2134488
blue,10,1.5468951
blue,10,1.5474976
blue,10,1.5462985
blue,10,1.4646572
blue,10,1.8964802
blue,10,1.2967264
blue,10,1.1978814
blue,10,1.3769671
blue,10,1.3621879
blue,10,1.9275087
blue,10,1.2949725
blue,10,2.0432454
blue,10,1.6611913
blue,10,0.9640059
blue,10,1.1145517
blue,10,1.3782538
blue,10,1.1939198
blue,10,1.6460295
blue,10,1.8945085
blue,10,1.4802905
blue,10,1.2126411
blue,10,1.2137052
blue,10,1.3989935
blue,10,1.5135659
blue,10,1.0124725
blue,10,1.3630146
blue,10,1.0835854
blue,10,2.1985733
blue,10,1.0782919
blue,10,1.8818334
blue,10,1.7800985
blue,10,2.4541043
blue,10,2.8413988
blue,10,2.4378344
blue,10,3.2786731
blue,10,2.0164602
blue,10,2.5894836
blue,10,2.7258184
blue,10,3.3973437
blue,10,1.4275878
blue,10,2.5712832
orange,6,2.516859
orange,6,2.4213841
orange,6,2.0250972
orange,6,1.4072822
orange,6,1.7082689
orange,6,2.6404955
orange,6,1.9729104
orange,6,1.8745088
orange,6,1.7300291
orange,6,1.7591475
orange,6,1.9907418
orange,6,1.9091581
orange,6,1.2933093
orange,6,2.1528985
orange,6,1.9145732
orange,6,2.0469848
orange,6,1.8299045
orange,6,1.496882
orange,6,1.5636328
orange,6,1.8471714
orange,6,2.0293083
orange,6,1.8947877
orange,6,1.4124691
orange,6,2.612769
orange,6,1.9452002
orange,6,1.9968143
orange,6,1.5192401
orange,6,1.7798426
orange,6,2.1969013
orange,6,1.7478795
orange,6,2.0129087
orange,6,1.9634107
orange,6,1.4641915
orange,6,1.6476812
orange,6,2.2293056
orange,6,2.1467019
orange,6,2.2461816
orange,6,1.8807806
orange,6,1.5799989
orange,6,2.8304674
orange,6,1.3972929
orange,6,1.2974331
orange,6,2.4120975
orange,6,1.9805263
orange,6,1.5648172
orange,6,1.6968182
orange,6,1.1634478
orange,6,1.3138153
orange,6,0.8629272
orange,6,1.2137646
orange,6,1.8131421
orange,6,1.5637414
orange,6,2.555978
orange,6,1.5480716
orange,6,2.3462214
orange,6,1.5801117
orange,6,1.7962349
orange,6,2.3966788
orange,6,1.5973639
orange,6,1.7467503
orange,6,2.2134857
orange,6,1.6136137
orange,6,1.7805675
orange,6,2.1304392
orange,6,1.7140298
orange,6,2.7744512
orange,6,2.3453322
orange,6,1.5945284
orange,6,1.313457
orange,6,1.6442758
orange,6,1.4133834
orange,6,1.4289957
orange,6,1.1954194
orange,6,1.4940621
orange,6,0.9984592
orange,6,1.3616728
orange,6,1.6302596
orange,6,1.8948742
orange,6,2.8898921
orange,6,1.4947106
orange,6,1.4451883
orange,6,1.2786103
orange,6,1.2166548
orange,6,1.6961506
orange,6,1.0995513
orange,6,1.4636143
orange,6,1.2960286
orange,6,1.5276931
orange,6,1.0622927
orange,6,1.4160735
orange,6,1.6442492
orange,6,11.5899848
orange,6,2.2358386
orange,6,2.923248
orange,6,2.2865228
orange,6,1.7499088
orange,6,1.7134539
orange,6,3.2458426
orange,6,1.8980266
orange,6,2.4195052
orange,6,1.9317593
orange,6,2.2691706
orange,6,2.3196105
orange,6,2.1510301
orange,10,2.0040113
orange,10,1.891341
orange,10,1.9074567
orange,10,1.6919891
orange,10,1.9743813
orange,10,2.1436135
orange,10,2.0724607
orange,10,1.9741742
orange,10,2.0742509
orange,10,1.4150219
orange,10,1.8576369
orange,10,2.7390309
orange,10,1.7780086
orange,10,1.9957154
orange,10,1.5796043
orange,10,1.8962608
orange,10,1.8299633
orange,10,2.2473763
orange,10,1.429206
orange,10,2.4463623
orange,10,1.5463894
orange,10,1.429369
orange,10,1.7966206
orange,10,2.5626134
orange,10,1.8800389
orange,10,1.9126352
orange,10,2.1130849
orange,10,1.8800946
orange,10,2.2304004
orange,10,1.6639836
orange,10,1.9963766
orange,10,1.7302393
orange,10,2.146521
orange,10,1.764314
orange,10,2.3963755
orange,10,1.6128027
orange,10,2.1953409
orange,10,2.1460804
orange,10,1.5975352
orange,10,1.2975112
orange,10,1.0639016
orange,10,1.2637015
orange,10,1.3140421
orange,10,3.246031
orange,10,0.9645124
orange,10,1.0807386
orange,10,1.3474794
orange,10,0.8977283
orange,10,1.7125405
orange,10,2.0959234
orange,10,1.6964631
orange,10,1.6978976
orange,10,1.8804882
orange,10,2.2953765
orange,10,1.7307755
orange,10,1.9643889
orange,10,1.4788706
orange,10,2.3152756
orange,10,2.3291375
orange,10,1.8799971
orange,10,1.1951707
orange,10,1.5119034
orange,10,1.6954677
orange,10,1.5294933
orange,10,1.3954711
orange,10,1.8279509
orange,10,1.1637989
orange,10,1.1624126
orange,10,1.0791056
orange,10,1.0294494
orange,10,1.4142428
orange,10,1.3290726
orange,10,1.6628554
orange,10,1.2457189
orange,10,1.8326198
orange,10,1.6171026
orange,10,1.7627629
orange,10,1.9465768
orange,10,1.7269657
orange,10,1.0459331
orange,10,1.4620175
orange,10,1.5290392
orange,10,1.296013
orange,10,1.3290581
orange,10,2.0843546
orange,10,2.0167866
orange,10,2.3863202
orange,10,2.7399562
orange,10,3.4963756
orange,10,2.2528795
orange,10,2.3361525
orange,10,1.8152513
orange,10,2.0664368
orange,10,2.9563196
orange,10,2.4193623
orange,10,2.134155
