num_Distr,color,mouse.time,,,,,,,
6,blue,1.3802087,,,,,,,
6,blue,1.3941438,,,,,,,
6,blue,1.8465054,,,,,,,
6,blue,2.296249,,,,,,Participant 2,
6,blue,1.1480599,,,,,,Mean RT of Blue Target,1.58259702
6,blue,1.0811539,,,,,,Mean RT of Orange Target,1.891235408
6,blue,2.2786681,,,,,,,
6,blue,1.8458354,,,,,,,
6,blue,0.8304507,,,,,,Mean RT of set size 6,1.709360446
6,blue,1.5974226,,,,,,Mean RT of set size 10,1.445269975
6,blue,3.4293056,,,,,,,
6,blue,1.6464004,,,,,,,
6,blue,1.4472823,,,,,,,
10,blue,1.0458691,,,,,,,
10,blue,2.0631914,,,,,,,
10,blue,1.0971695,,,,,,,
10,blue,1.4302896,,,,,,,
10,blue,1.5470743,,,,,,,
10,blue,1.3136335,,,,,,,
10,blue,1.0967087,,,,,,,
10,blue,1.3483813,,,,,,,
10,blue,1.1635419,,,,,,,
10,blue,2.6115235,,,,,,,
10,blue,1.3956418,,,,,,,
10,blue,1.2302151,,,,,,,
6,orange,2.1528985,,,,,,,
6,orange,1.9145732,,,,,,,
6,orange,2.0469848,,,,,,,
6,orange,1.8299045,,,,,,,
6,orange,1.496882,,,,,,,
6,orange,1.5636328,,,,,,,
6,orange,1.8471714,,,,,,,
6,orange,2.0293083,,,,,,,
6,orange,1.8947877,,,,,,,
6,orange,1.4124691,,,,,,,
6,orange,2.612769,,,,,,,
6,orange,1.9452002,,,,,,,
6,orange,1.9968143,,,,,,,
10,orange,1.7780086,,,,,,,
10,orange,1.9957154,,,,,,,
10,orange,1.5796043,,,,,,,
10,orange,1.8962608,,,,,,,
10,orange,1.8299633,,,,,,,
10,orange,2.2473763,,,,,,,
10,orange,1.429206,,,,,,,
10,orange,2.4463623,,,,,,,
10,orange,1.5463894,,,,,,,
10,orange,1.429369,,,,,,,
10,orange,1.7966206,,,,,,,
10,orange,2.5626134,,,,,,,
