num_Distr,color,mouse.time,,,,,,,,,6,1.496038
6,blue,1.496038,,,,,,,,,6,1.1158074
6,blue,1.1158074,,,,,,,,,6,1.5301221
6,blue,1.5301221,,,,,,,,,6,1.2814323
6,blue,1.2814323,,,,,,,,,6,1.4803098
6,blue,1.4803098,,,,,Participant 3,,,,6,2.3960079
6,blue,2.3960079,,,,,Mean RT of Blue Target,1.529590956,,,6,1.4635242
6,blue,1.4635242,,,,,Mean RT of Orange Target,1.909675636,,,6,2.2634181
6,blue,2.2634181,,,,,,,,,6,1.6472997
6,blue,1.6472997,,,,,,,,,6,1.2969267
6,blue,1.2969267,,,,,Mean RT of set size 6,1.748310068,,,6,1.5139743
6,blue,1.5139743,,,,,Mean RT of set size 10,1.690956524,,,6,1.5965058
6,blue,1.5965058,,,,,,,,,6,1.7306013
6,blue,1.7306013,,,,,,,,,6,1.7798426
10,blue,1.2950661,,,,,,,,,6,2.1969013
10,blue,1.1634513,,,,,,,,,6,1.7478795
10,blue,1.2642788,,,,,,,,,6,2.0129087
10,blue,1.3299516,,,,,,,,,6,1.9634107
10,blue,1.8959167,,,,,,,,,6,1.4641915
10,blue,1.9134271,,,,,,,,,6,1.6476812
10,blue,1.5639971,,,,,,,,,6,2.2293056
10,blue,1.3294844,,,,,,,,,6,2.1467019
10,blue,1.2469369,,,,,,,,,6,2.2461816
10,blue,1.8304038,,,,,,,,,6,1.8807806
10,blue,1.0967327,,,,,,,,,6,1.5799989
10,blue,1.4981598,,,,,,,,,10,1.2950661
10,orange,1.5192401,,,,,,,,,10,1.1634513
6,orange,1.7798426,,,,,,,,,10,1.2642788
6,orange,2.1969013,,,,,,,,,10,1.3299516
6,orange,1.7478795,,,,,,,,,10,1.8959167
6,orange,2.0129087,,,,,,,,,10,1.9134271
6,orange,1.9634107,,,,,,,,,10,1.5639971
6,orange,1.4641915,,,,,,,,,10,1.3294844
6,orange,1.6476812,,,,,,,,,10,1.2469369
6,orange,2.2293056,,,,,,,,,10,1.8304038
6,orange,2.1467019,,,,,,,,,10,1.0967327
6,orange,2.2461816,,,,,,,,,10,1.4981598
6,orange,1.8807806,,,,,,,,,10,1.5192401
6,orange,1.5799989,,,,,,,,,10,1.8800389
10,orange,1.8800389,,,,,,,,,10,1.9126352
10,orange,1.9126352,,,,,,,,,10,2.1130849
10,orange,2.1130849,,,,,,,,,10,1.8800946
10,orange,1.8800946,,,,,,,,,10,2.2304004
10,orange,2.2304004,,,,,,,,,10,1.6639836
10,orange,1.6639836,,,,,,,,,10,1.9963766
10,orange,1.9963766,,,,,,,,,10,1.7302393
10,orange,1.7302393,,,,,,,,,10,2.146521
10,orange,2.146521,,,,,,,,,10,1.764314
10,orange,1.764314,,,,,,,,,10,2.3963755
10,orange,2.3963755,,,,,,,,,10,1.6128027
10,orange,1.6128027,,,,,,,,,,
