num_Distr,color,mouse.time,,,,,,,,,,num_Distr,mouse.time
6,blue,2.7786218,,,,,,,,,,6,2.7786218
10,blue,1.7132704,,,,,,,,,,6,1.1471476
6,blue,1.1471476,,,,,,,,,,6,1.5648303
10,blue,0.9984143,,,,,,,,,,6,1.264097
6,blue,1.5648303,,,,,,,,,,6,0.9819707
10,blue,0.9313184,,,,Participant 4,,,,,,6,1.4895359
6,blue,1.264097,,,,Mean RT of Blue Target,1.268384536,,,,,6,0.9313688
10,blue,1.39742,,,,Mean RT of Orange Target,1.580995744,,,,,6,1.2630591
6,blue,0.9819707,,,,,,,,,,6,0.7473351
10,blue,1.2306837,,,,,,,,,,6,1.5475707
6,blue,1.4895359,,,,Mean RT of set size 6,1.478897588,,,,,6,0.9480752
10,blue,1.4811312,,,,Mean RT of set size 10,1.365965404,,,,,6,1.147484
6,blue,0.9313688,,,,,,,,,,6,1.5299501
10,blue,1.1804725,,,,,,,,,,6,2.8304674
6,blue,1.2630591,,,,,,,,,,6,1.3972929
10,blue,1.0976419,,,,,,,,,,6,1.2974331
6,blue,0.7473351,,,,,,,,,,6,2.4120975
10,blue,0.8477874,,,,,,,,,,6,1.9805263
6,blue,1.5475707,,,,,,,,,,6,1.5648172
10,blue,1.1471278,,,,,,,,,,6,1.6968182
6,blue,0.9480752,,,,,,,,,,6,1.1634478
10,blue,0.9134197,,,,,,,,,,6,1.3138153
6,blue,1.147484,,,,,,,,,,6,0.8629272
10,blue,1.4298798,,,,,,,,,,6,1.2137646
6,blue,1.5299501,,,,,,,,,,6,1.8131421
6,orange,2.8304674,,,,,,,,,,6,1.5637414
10,orange,2.1953409,,,,,,,,,,10,1.7132704
6,orange,1.3972929,,,,,,,,,,10,0.9984143
10,orange,2.1460804,,,,,,,,,,10,0.9313184
6,orange,1.2974331,,,,,,,,,,10,1.39742
10,orange,1.5975352,,,,,,,,,,10,1.2306837
6,orange,2.4120975,,,,,,,,,,10,1.4811312
10,orange,1.2975112,,,,,,,,,,10,1.1804725
6,orange,1.9805263,,,,,,,,,,10,1.0976419
10,orange,1.0639016,,,,,,,,,,10,0.8477874
6,orange,1.5648172,,,,,,,,,,10,1.1471278
10,orange,1.2637015,,,,,,,,,,10,0.9134197
6,orange,1.6968182,,,,,,,,,,10,1.4298798
10,orange,1.3140421,,,,,,,,,,10,2.1953409
6,orange,1.1634478,,,,,,,,,,10,2.1460804
10,orange,3.246031,,,,,,,,,,10,1.5975352
6,orange,1.3138153,,,,,,,,,,10,1.2975112
10,orange,0.9645124,,,,,,,,,,10,1.0639016
6,orange,0.8629272,,,,,,,,,,10,1.2637015
10,orange,1.0807386,,,,,,,,,,10,1.3140421
6,orange,1.2137646,,,,,,,,,,10,3.246031
10,orange,1.3474794,,,,,,,,,,10,0.9645124
6,orange,1.8131421,,,,,,,,,,10,1.0807386
10,orange,0.8977283,,,,,,,,,,10,1.3474794
6,orange,1.5637414,,,,,,,,,,10,0.8977283
