color,num_Distr,mouse.time,,,,,,,,,num_Distr,mouse.time
blue,6,1.9269515,,,,,,,,,6,1.9269515
blue,10,1.2967264,,,,,,,,,6,1.3945551
blue,6,1.3945551,,,,,,,,,6,1.1978487
blue,10,1.1978814,,,,,,,,,6,1.2315104
blue,6,1.1978487,,,,,Participant 6,,,,6,1.2457934
blue,10,1.3769671,,,,,Mean RT of Blue Target,1.35176898,,,6,1.4464382
blue,6,1.2315104,,,,,Mean RT of Orange Target,1.4969084,,,6,1.1973804
blue,10,1.3621879,,,,,,,,,6,0.930411
blue,6,1.2457934,,,,,,,,,6,1.1958406
blue,10,1.9275087,,,,,Mean RT of set size 6,1.464307062,,,6,1.1122875
blue,6,1.4464382,,,,,Mean RT of set size 10,1.381039621,,,6,1.2454216
blue,10,1.2949725,,,,,,,,,6,1.4948292
blue,6,1.1973804,,,,,,,,,6,1.363545
blue,10,2.0432454,,,,,,,,,6,2.7744512
blue,6,0.930411,,,,,,,,,6,2.3453322
blue,10,1.6611913,,,,,,,,,6,1.5945284
blue,6,1.1958406,,,,,,,,,6,1.313457
blue,10,0.9640059,,,,,,,,,6,1.6442758
blue,6,1.1122875,,,,,,,,,6,1.4133834
blue,10,1.1145517,,,,,,,,,6,1.4289957
blue,6,1.2454216,,,,,,,,,6,1.1954194
blue,10,1.3782538,,,,,,,,,6,1.4940621
blue,6,1.4948292,,,,,,,,,6,0.9984592
blue,10,1.1939198,,,,,,,,,6,1.3616728
blue,6,1.363545,,,,,,,,,6,1.6302596
orange,6,2.7744512,,,,,,,,,6,1.8948742
orange,10,1.1951707,,,,,,,,,10,1.2967264
orange,6,2.3453322,,,,,,,,,10,1.1978814
orange,10,1.5119034,,,,,,,,,10,1.3769671
orange,6,1.5945284,,,,,,,,,10,1.3621879
orange,10,1.6954677,,,,,,,,,10,1.9275087
orange,6,1.313457,,,,,,,,,10,1.2949725
orange,10,1.5294933,,,,,,,,,10,2.0432454
orange,6,1.6442758,,,,,,,,,10,1.6611913
orange,10,1.3954711,,,,,,,,,10,0.9640059
orange,6,1.4133834,,,,,,,,,10,1.1145517
orange,10,1.8279509,,,,,,,,,10,1.3782538
orange,6,1.4289957,,,,,,,,,10,1.1939198
orange,10,1.1637989,,,,,,,,,10,1.1951707
orange,6,1.1954194,,,,,,,,,10,1.5119034
orange,10,1.1624126,,,,,,,,,10,1.6954677
orange,6,1.4940621,,,,,,,,,10,1.5294933
orange,10,1.0791056,,,,,,,,,10,1.3954711
orange,6,0.9984592,,,,,,,,,10,1.8279509
orange,10,1.0294494,,,,,,,,,10,1.1637989
orange,6,1.3616728,,,,,,,,,10,1.1624126
orange,10,1.4142428,,,,,,,,,10,1.0791056
orange,6,1.6302596,,,,,,,,,10,1.0294494
orange,10,1.3290726,,,,,,,,,10,1.4142428
orange,6,1.8948742,,,,,,,,,10,1.3290726
