num_Distr,color,mouse.time,,,,,,,,,num_Distr,mouse.time
6,blue,2.6173576,,,,,,,,,6,2.6173576
10,blue,1.8818334,,,,,,Participant 8,,,6,1.5787231
6,blue,1.5787231,,,,,,Mean RT of Blue Target,2.36928144,,6,1.6284768
10,blue,1.7800985,,,,,,Mean RT of Orange Target,2.73753008,,6,1.9315119
6,blue,1.6284768,,,,,,,,,6,2.4550387
10,blue,2.4541043,,,,,,,,,6,3.3128256
6,blue,1.9315119,,,,,,Mean RT of set size 6,2.675539169,,6,3.3455467
10,blue,2.8413988,,,,,,Mean RT of set size 10,2.421094567,,6,2.8439636
6,blue,2.4550387,,,,,,,,,6,1.9184496
10,blue,2.4378344,,,,,,,,,6,1.8666017
6,blue,3.3128256,,,,,,,,,6,1.7463046
10,blue,3.2786731,,,,,,,,,6,2.232054
6,blue,3.3455467,,,,,,,,,6,2.3532627
10,blue,2.0164602,,,,,,,,,6,11.5899848
6,blue,2.8439636,,,,,,,,,6,2.2358386
10,blue,2.5894836,,,,,,,,,6,2.923248
6,blue,1.9184496,,,,,,,,,6,2.2865228
10,blue,2.7258184,,,,,,,,,6,1.7499088
6,blue,1.8666017,,,,,,,,,6,1.7134539
10,blue,3.3973437,,,,,,,,,6,3.2458426
6,blue,1.7463046,,,,,,,,,6,1.8980266
10,blue,1.4275878,,,,,,,,,6,2.4195052
6,blue,2.232054,,,,,,,,,6,2.9317593
10,blue,2.5712832,,,,,,,,,6,2.2691706
6,blue,2.3532627,,,,,,,,,6,2.3196105
6,orange,11.5899848,,,,,,,,,6,2.1510301
10,orange,2.0843546,,,,,,,,,10,1.8818334
6,orange,2.2358386,,,,,,,,,10,1.7800985
10,orange,2.0167866,,,,,,,,,10,2.4541043
6,orange,2.923248,,,,,,,,,10,2.8413988
10,orange,2.3863202,,,,,,,,,10,2.4378344
6,orange,2.2865228,,,,,,,,,10,3.2786731
10,orange,2.7399562,,,,,,,,,10,2.0164602
6,orange,1.7499088,,,,,,,,,10,2.5894836
10,orange,3.4963756,,,,,,,,,10,2.7258184
6,orange,1.7134539,,,,,,,,,10,3.3973437
10,orange,2.2528795,,,,,,,,,10,1.4275878
6,orange,3.2458426,,,,,,,,,10,2.5712832
10,orange,2.3361525,,,,,,,,,10,2.0843546
6,orange,1.8980266,,,,,,,,,10,2.0167866
10,orange,1.8152513,,,,,,,,,10,2.3863202
6,orange,2.4195052,,,,,,,,,10,2.7399562
10,orange,2.0664368,,,,,,,,,10,3.4963756
6,orange,2.9317593,,,,,,,,,10,2.2528795
10,orange,2.9563196,,,,,,,,,10,2.3361525
6,orange,2.2691706,,,,,,,,,10,1.8152513
10,orange,2.4193623,,,,,,,,,10,2.0664368
6,orange,2.3196105,,,,,,,,,10,2.9563196
10,orange,2.134155,,,,,,,,,10,2.4193623
6,orange,2.1510301,,,,,,,,,10,2.134155
