stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,24.445484400028363,24.999167800182477,24.999167800182477,25.032751000020653,25.313341200118884,left,-10.0,0,0,17.46466950001195,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
1,1,12.0,42.50710350018926,42.99334580008872,42.99334580008872,43.00980120012537,43.29271410009824,right,12.0,1,1,1.9347417999524623,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
2,1,11.0,44.972505500074476,45.45753020001575,45.45753020001575,45.47380750020966,45.75755119998939,right,11.0,1,1,0.45900869998149574,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
3,1,11.0,45.95433360012248,46.439912400208414,46.439912400208414,46.45682780002244,46.73961230018176,left,-11.0,1,1,0.6933876997791231,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
4,1,11.0,47.17018670006655,47.65505480021238,47.65505480021238,47.67130540008657,47.95454200007953,left,-11.0,1,1,0.4457176998257637,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
5,1,10.0,48.12107370002195,48.62099740002304,48.62099740002304,48.62099740002304,48.92087100003846,left,-10.0,1,1,0.5028824999462813,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
6,1,10.0,49.167831800179556,49.65411230013706,49.65411230013706,49.67047010012902,49.953753700014204,right,10.0,1,1,0.5569762999657542,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
7,1,10.0,50.25059330021031,50.73566780006513,50.73566780006513,50.75249970005825,51.03585990006104,right,10.0,0,0,0.4210285998415202,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
8,1,11.0,51.19918790017255,51.6855029000435,51.6855029000435,51.703513300046325,51.98445490002632,right,11.0,1,1,0.6156574997585267,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
9,1,11.0,52.33166400017217,52.81717440020293,52.81717440020293,52.833491099998355,53.11708710016683,right,11.0,1,1,0.45239199977368116,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
10,0.5,11.0,53.30005730013363,53.799265100155026,53.799265100155026,53.799265100155026,54.09954320010729,left,-11.0,1,1,0.607031999854371,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
11,0.5,10.5,54.44653570000082,54.931563100079075,54.931563100079075,54.948378700064495,55.23152420017868,left,-10.5,1,1,0.4006109999027103,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
12,0.5,10.5,55.3618751000613,55.847925800131634,55.847925800131634,55.86469670012593,56.14742420008406,right,10.5,0,0,0.4131203999277204,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
13,0.5,11.0,56.295406999997795,56.77981680002995,56.77981680002995,56.7965175001882,57.08043440012261,right,11.0,0,0,0.4016459998674691,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
14,0.5,11.5,57.21161200013012,57.69658720004372,57.69658720004372,57.713004200020805,57.995896300068125,right,11.5,1,1,0.3218012999277562,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
15,0.5,11.5,58.04517860012129,58.5456683000084,58.5456683000084,58.5456683000084,58.84556350018829,right,11.5,0,0,0.9109036000445485,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
16,0.5,12.0,59.49145320011303,59.990993099985644,59.990993099985644,60.01043140003458,60.29379440005869,left,-12.0,0,0,0.5227872999384999,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
17,0.5,12.5,60.543310899985954,61.042505000019446,61.042505000019446,61.042505000019446,61.35647870018147,right,12.5,0,0,0.6754342997446656,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
18,0.5,13.0,61.75609000003897,62.24151850002818,62.24151850002818,62.25890060001984,62.54188460018486,left,-13.0,0,0,4.473402200033888,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
19,0.5,13.5,66.75145140010864,67.23750829999335,67.23750829999335,67.25456700008363,67.53694800008088,right,13.5,0,0,0.575939699774608,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
20,0.5,14.0,67.8362436001189,68.33638950018212,68.33638950018212,68.33638950018212,68.63583260006271,left,-14.0,0,0,0.7465599998831749,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
21,0.5,14.5,69.11580190015957,69.60219950019382,69.60219950019382,69.61852170014754,69.90149240009487,right,14.5,1,1,0.49611009983345866,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
22,0.5,14.5,70.13178450008854,70.61770740011707,70.61770740011707,70.63447879999876,70.91693980013952,right,14.5,0,0,1.4215193998534232,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
23,0.5,15.0,72.06336590019055,72.54842050001025,72.54842050001025,72.56588970008306,72.84873120021075,right,15.0,1,1,0.31617639982141554,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
24,0.5,15.0,72.89562130020931,73.38087590015493,73.38087590015493,73.39892950002104,73.68039930006489,left,-15.0,1,1,0.33731119986623526,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
25,0.5,15.0,73.74653350003064,74.24452130007558,74.24452130007558,74.26114400010556,74.54456120007671,left,-15.0,0,0,0.30159749975427985,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
26,0.5,15.5,74.57791560003534,75.06325870007277,75.06325870007277,75.080365100177,,right,15.5,0,0,0.2143659999128431,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
27,0.5,16.0,75.29569150018506,75.79784830007702,75.79784830007702,75.79784830007702,76.11156610003673,left,-16.0,0,0,0.4182982000056654,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
28,0.5,16.5,76.25979060004465,76.74487809999846,76.74487809999846,76.76147989998572,77.04489880008623,left,-16.5,1,1,0.48270339984446764,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
29,0.5,16.5,77.2587318001315,77.74362830002792,77.74362830002792,77.76049120002426,78.0436249000486,right,16.5,1,1,0.46164069999940693,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
30,0.5,16.5,78.24140510009602,78.72617300017737,78.72617300017737,78.74334749998525,79.02588209998794,left,-16.5,0,0,1.723612800007686,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
31,0.5,17.0,80.48868880001828,80.97443170007318,80.97443170007318,80.99165199999698,81.27377240010537,right,17.0,0,0,3.258524499833584,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
32,0.5,17.5,84.26858390006237,84.75382740003988,84.75382740003988,84.77046700008214,85.0548461000435,right,17.5,1,1,2.7305109000299126,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
33,0.5,17.5,87.51541770016775,88.00050850003026,88.00050850003026,88.01703640003689,88.30062420014292,right,17.5,1,1,1.4116231999360025,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
34,0.5,17.5,89.44691400020383,89.93289689999074,89.93289689999074,89.94943230017088,90.23217960004695,right,17.5,0,0,0.5317818999756128,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
35,0.5,18.0,90.49635450006463,90.98116600001231,90.98116600001231,90.99786780006252,91.28160240012221,left,-18.0,0,0,2.662115299841389,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
36,0.5,18.5,93.6595007001888,94.16235610004514,94.16235610004514,94.16235610004514,94.46218500006944,right,18.5,0,0,1.5252751999069005,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
37,0.5,19.0,95.72554430016316,96.21034450014122,96.21034450014122,96.22670230013318,96.50965070002712,left,-19.0,1,1,0.3929944997653365,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
38,0.5,19.0,96.6267705000937,97.12609899998643,97.12609899998643,97.12609899998643,97.42542119999416,right,19.0,1,1,0.5322422997560352,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
39,0.5,19.0,97.68927370011806,98.17467200011015,98.17467200011015,98.1910971000325,98.47501010005362,left,-19.0,1,1,0.4374170999508351,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
40,0.5,18.5,98.65519530000165,99.1412677001208,99.1412677001208,99.15739520010538,99.4408141002059,left,-18.5,1,1,0.7460373998619616,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
41,0.5,18.5,99.92057200009003,100.40576510014944,100.40576510014944,100.42256550001912,100.70568250003271,left,-18.5,0,0,0.3922626997809857,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
42,0.5,19.0,100.82193490001373,101.32188070006669,101.32188070006669,101.32188070006669,101.62222600006498,right,19.0,1,1,0.6169030999299139,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
43,0.5,19.0,101.96701100002974,102.4539023002144,102.4539023002144,102.47071040002629,102.75355710019358,right,19.0,1,1,0.5359561999794096,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
44,0.5,19.0,103.03448400017805,103.52020360017195,103.52020360017195,103.53627789998427,103.82005010009743,left,-19.0,1,1,0.7187713996972889,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
45,0.5,18.5,104.28300480009057,104.7682841999922,104.7682841999922,104.78526600007899,105.06982510001399,left,-18.5,1,1,0.6177931998390704,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
46,0.5,18.5,105.41524200001732,105.90176400006749,105.90176400006749,105.91804200015031,106.20137180015445,left,-18.5,1,1,0.4008457998279482,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
47,0.5,18.5,106.34786740015261,106.83339000004344,106.83339000004344,106.85004750010557,107.13375100004487,left,-18.5,1,1,0.7200407998170704,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
48,0.5,18.0,107.58221440017223,108.08295499999076,108.08295499999076,108.08295499999076,108.39861480006948,right,18.0,1,1,0.41099479980766773,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
49,0.5,18.0,108.52925570006482,109.01591680012643,109.01591680012643,109.03112370008603,109.33161180000752,right,18.0,0,0,0.4704451998695731,386092,001,2023-09-01_11h16.28.741,adaptive_staircase_session6,2023.1.3,60.223694856781016,
