trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,296.91971519985236,298.02882919996046,up,1,0.4770169002003968,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
1,0,1,0,298.5273957999889,299.52939399983734,down,1,0.7756401002407074,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
2,0,2,0,300.3257994998712,301.3280986000318,up,1,0.8942237000446767,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
3,0,3,0,302.24095969996415,303.2428080998361,up,1,1.1021287001203746,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
4,0,4,0,304.3719999999739,305.39149650000036,down,1,0.7404742001090199,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
5,0,5,0,306.1538664000109,307.1556784999557,down,1,0.6839715002570301,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
6,0,6,0,307.86917670001276,308.88792139990255,down,1,0.8208734001964331,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
7,0,7,0,309.7338270000182,310.7360182998236,up,1,0.8346919000614434,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
8,0,8,0,311.59891820000485,312.6012928998098,down,1,0.7613769001327455,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
9,0,9,0,313.38053789990954,314.3824390999507,down,1,0.7917999001219869,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
10,0,10,0,315.2119818998035,316.23093479988165,down,1,0.6867970002349466,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
11,0,11,0,316.9105750999879,317.9126073999796,down,0,2.513186600059271,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
12,0,12,0,320.4407205998432,321.4425083999522,up,0,0.7875168002210557,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
13,0,13,0,322.2553365000058,323.2575609998312,up,1,4.687281199963763,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
14,0,14,0,327.96691239997745,328.96847479999997,down,1,0.738772900076583,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
15,0,15,0,329.7317201998085,330.7338910999242,down,1,0.5976605000905693,None,2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
16,0,16,0,331.36361279990524,332.38290619989857,down,1,0.5983964002225548,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
17,0,17,0,332.96214199997485,333.96420939988457,up,1,2.061808500206098,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
18,0,18,0,336.0593864999246,337.0777739000041,up,1,1.0975179001688957,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
19,0,19,0,338.1741998998914,339.19262210000306,up,0,1.2559178001247346,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
20,0,20,0,340.43822059989907,341.44205139996484,up,0,1.086264600045979,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
21,0,21,0,342.553999299882,343.5717384000309,down,1,0.5369666002225131,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
22,0,22,0,344.1352001999039,345.1370202000253,up,0,0.8398343999870121,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
23,0,23,0,346.0000487999059,347.001921299845,up,1,1.109086100012064,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
