trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,22.585507200099528,22.585507200099528,0.11634969990700483,23.613428900018334,[0.23148148148148148],[-0.2534722222222222],[1],[0],[0],[2.119620200013742],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
1,0,1,0,10,24.728021300164983,24.728021300164983,0.10343310004100204,25.74399650003761,[-0.49189814814814814],[0.037037037037037035],[1],[0],[0],[1.7739091999828815],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
2,0,2,0,5,26.542912900215015,26.542912900215015,0.03802690003067255,27.576628500130028,[0.4131944444444444],[0.04050925925925926],[1],[0],[0],[1.655222199857235],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
3,0,3,0,5,28.27471960010007,28.27471960010007,0.05191469984129071,29.29168500006199,[-0.28125],[0.4537037037037037],[1],[0],[0],[1.882748399861157],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
4,0,4,0,5,30.239649000111967,30.239649000111967,0.06672870018519461,31.27355969999917,[-0.3958333333333333],[0.20949074074074073],[1],[0],[0],[1.4342590000014752],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
5,0,5,0,5,31.75548020005226,31.75548020005226,0.06364000006578863,32.771860000211746,[-0.44328703703703703],[-0.16550925925925927],[1],[0],[0],[1.9031401998363435],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
6,0,6,0,10,33.7697054001037,33.7697054001037,0.10941509995609522,34.80283480021171,[0.4664351851851852],[0.1412037037037037],[1],[0],[0],[1.9610354001633823],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
7,0,7,0,5,35.78430220019072,35.78430220019072,0.05148519994691014,36.83463490009308,[-0.2349537037037037],[0.45601851851851855],[1],[0],[0],[2.069091800134629],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
8,0,8,0,5,37.932323900051415,37.932323900051415,0.06027949997223914,38.96570760011673,[0.4398148148148148],[0.48726851851851855],[1],[0],[0],[2.8564424000214785],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
9,0,9,0,10,40.87969260010868,40.87969260010868,0.07766550011001527,41.92959340009838,[-0.22569444444444445],[-0.2222222222222222],[1],[0],[0],[2.422992500010878],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
