pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,55.15923509997083,55.41693710000254,55.41693710000254,55.41693710000254,55.41693710000254,56.18342549999943,56.416282600024715,56.416282600024715,x,1,1.5386779999826103,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,0,1,1,1,,,,,58.04813289997401,59.03044800000498,59.03044800000498,59.03044800000498,59.03044800000498,59.096944299992174,60.045974700013176,60.045974700013176,v,1,1.6718784000258893,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,0,2,2,2,,,,,61.77779189997818,62.77787340001669,62.77787340001669,62.77787340001669,62.77787340001669,62.81044899998233,63.792879200016614,63.792879200016614,c,1,0.4260760000324808,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,0,3,3,3,,,,,64.25893349997932,65.25833129999228,65.25833129999228,65.25833129999228,65.25833129999228,65.29161969997222,66.27401850000024,66.27401850000024,z,1,0.7143312999978662,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,1,0,4,0,,,,,67.03950660000555,68.03923910000594,68.03923910000594,68.03923910000594,68.03923910000594,68.07183309999527,69.03771649999544,69.03771649999544,x,1,0.5830659000203013,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,1,1,5,1,,,,,69.67032309999922,70.6696162999724,70.6696162999724,70.6696162999724,70.6696162999724,70.70291829999769,71.66897050000262,71.66897050000262,v,1,0.2896042999927886,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,1,2,6,2,,,,,72.0013477000175,73.00064089999069,73.00064089999069,73.00064089999069,73.00064089999069,73.03418389998842,74.00029039999936,74.00029039999936,c,1,0.3212836000020616,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,1,3,7,3,,,,,74.3658905000193,75.36543449998135,75.36543449998135,75.36543449998135,75.36543449998135,75.39879980002297,76.36430239997571,76.36430239997571,z,1,0.3070914000272751,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,2,0,8,0,,,,,76.73008710000431,77.72966830001678,77.72966830001678,77.72966830001678,77.72966830001678,77.76299710001331,78.74584099999629,78.74584099999629,x,1,0.3308457000530325,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,2,1,9,1,,,,,79.11141419998603,80.110776800022,80.110776800022,80.110776800022,80.110776800022,80.14413969998714,81.12648769997759,81.12648769997759,v,1,0.10817849996965379,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
