Sequential Trials,,,,Randomized Trials,,,,,Incorrect trials. RT will not be considered,,,,,RT of Sequential Trials,RT of Random Trials
trials.thisN,key_resp.corr,key_resp.rt,,trials.thisN,key_resp.corr,key_resp.rt,,,,,,,,1.538678,0.3968449
18,0,0.4774833,,209,0,0.367294,,,,,,,,1.6718784,0.4453828
48,0,0.4157714,,255,0,0.4924806,,,,,,,,0.426076,0.466118
56,0,0.4616202,,274,0,0.5015652,,,,,,,,0.7143313,0.6428527
74,0,0.35369,,295,0,0.7107225,,,,,,,,0.5830659,0.4639861
105,0,0.3983899,,333,0,0.5175264,,,,,,,,0.2896043,0.3445401
185,0,0.3479115,,399,0,0.4841423,,,,,,,,0.3212836,0.6653459
192,0,0.480159,,200,1,0.3968449,,,Average RT of Sequential Trial,0.471232825,,,,0.3070914,0.4645623
0,1,1.538678,,201,1,0.4453828,,,Average RT of Random Trial,0.60863009,,,,0.3308457,0.7291815
1,1,1.6718784,,202,1,0.466118,,,,,,,,0.1081785,0.5117296
2,1,0.426076,,203,1,0.6428527,,,,,,,,0.2981513,0.8157548
3,1,0.7143313,,204,1,0.4639861,,,,,,,,0.248936,0.7602044
4,1,0.5830659,,205,1,0.3445401,,,,,,,,0.3108427,1.2387129
5,1,0.2896043,,206,1,0.6653459,,,,,,,,0.4830451,0.4771009
6,1,0.3212836,,207,1,0.4645623,,,,,,,,0.4471874,0.6955128
7,1,0.3070914,,208,1,0.7291815,,,,,,,,0.645358,0.5068762
8,1,0.3308457,,210,1,0.5117296,,,,,,,,0.1582337,0.4045196
9,1,0.1081785,,211,1,0.8157548,,,,,,,,0.4731987,0.6341347
10,1,0.2981513,,212,1,0.7602044,,,,,,,,0.4387625,0.4562983
11,1,0.248936,,213,1,1.2387129,,,,,,,,0.6995777,0.5650331
12,1,0.3108427,,214,1,0.4771009,,,,,,,,0.3131101,0.5076292
13,1,0.4830451,,215,1,0.6955128,,,,,,,,0.3897138,0.4893884
14,1,0.4471874,,216,1,0.5068762,,,,,,,,0.4359472,0.3810626
15,1,0.645358,,217,1,0.4045196,,,,,,,,0.3362525,0.4113241
16,1,0.1582337,,218,1,0.6341347,,,,,,,,0.326009,0.6968468
17,1,0.4731987,,219,1,0.4562983,,,,,,,,0.4569957,0.5203141
19,1,0.4387625,,220,1,0.5650331,,,,,,,,0.1816552,0.4521604
20,1,0.6995777,,221,1,0.5076292,,,,,,,,0.5334624,0.615641
21,1,0.3131101,,222,1,0.4893884,,,,,,,,0.3837613,0.6026007
22,1,0.3897138,,223,1,0.3810626,,,,,,,,0.6500205,0.6344011
23,1,0.4359472,,224,1,0.4113241,,,,,,,,0.362033,0.3801381
24,1,0.3362525,,225,1,0.6968468,,,,,,,,0.5854013,0.5477631
25,1,0.326009,,226,1,0.5203141,,,,,,,,0.4305522,0.5489812
26,1,0.4569957,,227,1,0.4521604,,,,,,,,0.3086161,5.3196171
27,1,0.1816552,,228,1,0.615641,,,,,,,,0.3045235,0.6462608
28,1,0.5334624,,229,1,0.6026007,,,,,,,,0.6469053,0.5744249
29,1,0.3837613,,230,1,0.6344011,,,,,,,,0.5029404,0.6789664
30,1,0.6500205,,231,1,0.3801381,,,,,,,,0.3281778,1.2512845
31,1,0.362033,,232,1,0.5477631,,,,,,,,0.4618093,0.7206389
32,1,0.5854013,,233,1,0.5489812,,,,,,,,0.4448592,0.6178704
33,1,0.4305522,,234,1,5.3196171,,,,,,,,0.4739979,0.3944934
34,1,0.3086161,,235,1,0.6462608,,,,,,,,0.303872,0.5701857
35,1,0.3045235,,236,1,0.5744249,,,,,,,,0.2459698,0.6954091
36,1,0.6469053,,237,1,0.6789664,,,,,,,,0.3828314,0.7720784
37,1,0.5029404,,238,1,1.2512845,,,,,,,,0.5977702,0.6493348
38,1,0.3281778,,239,1,0.7206389,,,,,,,,0.209081,0.5612709
39,1,0.4618093,,240,1,0.6178704,,,,,,,,0.3138188,0.4579758
40,1,0.4448592,,241,1,0.3944934,,,,,,,,0.6297206,0.4005687
41,1,0.4739979,,242,1,0.5701857,,,,,,,,0.5105619,0.6131362
42,1,0.303872,,243,1,0.6954091,,,,,,,,0.5563283,0.5179365
43,1,0.2459698,,244,1,0.7720784,,,,,,,,0.6276964,0.5634834
44,1,0.3828314,,245,1,0.6493348,,,,,,,,0.3984423,0.451525
