delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,text.started,text.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,0,0,0,9,40.695783199742436,41.71232759999111,41.55259449966252,None,space,1.0168635002337396,41.55259449966252,None,42.78275868990458,None,43.44811909971759,None,150,43.44811909971759,None,43.44811909971759,None,1,[4.926587000023574],[4.926606100052595],681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,1000,exp,0,1,1,3,48.20867889979854,49.21046119974926,49.19359249994159,None,space,0.6803097003139555,49.19359249994159,None,49.979345589829606,None,50.48981669964269,None,100,50.48981669964269,None,50.48981669964269,None,2,"[4.926587000023574, 3.6587441000156105]","[4.926606100052595, 3.6587633001618087]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,0,2,2,11,54.13675719965249,55.154537099879235,55.104749999940395,None,space,1.1004645004868507,55.104749999940395,None,56.936445789830756,None,57.44980049971491,None,500,57.44980049971491,None,57.44980049971491,None,3,"[4.926587000023574, 3.6587441000156105, 6.830130400136113]","[4.926606100052595, 3.6587633001618087, 6.830147400032729]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,1000,exp,0,3,3,7,64.27747349999845,65.29563619988039,65.26153539959341,None,space,0.33133190078660846,65.26153539959341,None,66.01260518976487,None,66.52605219976977,None,200,66.52605219976977,None,66.52605219976977,None,4,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,1000,exp,0,4,4,4,70.77162429969758,71.77426709979773,71.7538489997387,None,space,0.49452940048649907,71.7538489997387,None,72.65881248977966,None,73.18588819960132,None,350,73.18588819960132,None,73.18588819960132,None,5,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,400,unexp,0,5,5,0,76.31621570000425,77.31943859998137,77.29923499980941,None,space,0.6148169003427029,77.29923499980941,None,78.0177164896857,None,78.53231279971078,None,100,78.53231279971078,None,78.53231279971078,None,6,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,0,6,6,8,89.12118639983237,90.12355689983815,90.1036252998747,None,space,0.5735826003365219,90.1036252998747,None,91.38993868972175,None,91.9022588999942,None,550,91.9022588999942,None,91.9022588999942,None,7,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,400,unexp,0,7,7,2,95.93096229992807,96.93433899991214,96.91376529959962,None,space,0.3730958001688123,96.91376529959962,None,98.016876989929,None,98.54570549959317,None,350,98.54570549959317,None,98.54570549959317,None,8,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,400,unexp,0,8,8,1,103.29137629969046,104.29248389974236,104.25906619988382,None,space,0.3172199004329741,104.25906619988382,None,104.97723728972487,None,105.48941639997065,None,200,105.48941639997065,None,105.48941639997065,None,9,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,0,9,9,5,109.35232109995559,110.3679185998626,110.33880429994315,None,space,0.3279729005880654,110.33880429994315,None,111.3710916898679,None,111.88311839988455,None,600,111.88311839988455,None,111.88311839988455,None,10,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,1000,exp,0,10,10,10,114.84694289974868,115.84983029961586,115.8303678999655,None,space,0.7001353004015982,115.8303678999655,None,116.93269249000586,None,117.42767070000991,None,100,117.42767070000991,None,117.42767070000991,None,11,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,1000,exp,0,11,11,6,120.52761919982731,121.52758989995345,121.51100069982931,None,space,0.3144716005772352,121.51100069982931,None,121.94334498974494,None,122.45675929961726,None,150,122.45675929961726,None,122.45675929961726,None,12,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,400,unexp,1,0,12,2,127.16890459973365,128.1713552000001,128.15178309986368,None,space,0.3001364003866911,128.15178309986368,None,129.1710155899171,None,129.68397499993443,None,350,129.68397499993443,None,129.68397499993443,None,13,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,1,1,13,5,133.1964950999245,134.19938859995455,134.17942489963025,None,space,0.541274500079453,134.17942489963025,None,135.43196918996983,None,135.9438852998428,None,200,135.9438852998428,None,135.9438852998428,None,14,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,1000,exp,1,2,14,10,138.67453199997544,139.6775709996,139.66078879963607,None,space,0.3158709001727402,139.66078879963607,None,140.37647878979334,None,140.87110869958997,None,100,140.87110869958997,None,140.87110869958997,None,15,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,1000,exp,1,3,15,4,144.3047727998346,145.3190647996962,145.2859010999091,None,space,0.34176040021702647,145.2859010999091,None,146.03688948969358,None,146.54994509974495,None,150,146.54994509974495,None,146.54994509974495,None,16,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.4,400,unexp,1,4,16,1,149.3650412997231,150.36704039992765,150.34715489996597,None,space,0.4311067000962794,150.34715489996597,None,151.18167498982513,None,151.6969413999468,None,250,151.6969413999468,None,151.6969413999468,None,17,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,1000,exp,1,5,17,6,158.9556970000267,159.97525009978563,159.92518009990454,None,space,0.29913110053166747,159.92518009990454,None,160.32386408974418,None,160.83770109992474,None,100,160.83770109992474,None,160.83770109992474,None,18,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
